i3blocks 1.5-3
i3lock 2.13-1
i3status 2.13-3
iana-etc 20201012-1
icu 67.1-1
id3lib 3.8.3-18
ijs 0.35-3
imagemagick 7.0.10.43-1
imlib2 1.7.0-1
incidenceeditor 20.08.3-1
iproute2 5.9.0-1
iptables 1:1.8.6-1
iputils 20200821-1
iso-codes 4.5.0-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.19-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.2.1-3
jre8-openjdk 8.u265-1
jre8-openjdk-headless 8.u265-1
js78 78.5.0-2
json-c 0.15-1
json-glib 1.6.0-1
juk 20.08.3-1
k3b 1:20.08.3-1
kaccounts-integration 20.08.3-1
kaccounts-providers 20.08.3-1
kactivities 5.76.0-1
kactivities-stats 5.76.0-1
kactivitymanagerd 5.20.3-1
kaddressbook 20.08.3-1
kajongg 20.08.3-1
kalarm 20.08.3-1
kalarmcal 20.08.3-1
kalgebra 20.08.3-1
kalzium 20.08.3-1
kamera 20.08.3-1
kamoso 20.08.3-1
kanagram 20.08.3-1
kapman 20.08.3-1
kapptemplate 20.08.3-1
karchive 5.76.0-1
kate 20.08.3-1
katomic 20.08.3-1
kauth 5.76.0-1
kbackup 20.08.3-1
kbd 2.3.0-2
kblackbox 20.08.3-1
kblocks 20.08.3-1
kbookmarks 5.76.0-1
kbounce 20.08.3-1
kbreakout 20.08.3-1
kbruch 20.08.3-1
kcachegrind 20.08.3-1
kcachegrind-common 20.08.3-1
kcalc 20.08.3-1
kcalendarcore 5.76.0-1
kcalutils 20.08.3-1
kcharselect 20.08.3-1
kcm-fcitx 0.5.6-1
kcmutils 5.76.0-1
kcodecs 5.76.0-1
kcolorchooser 20.08.3-1
kcompletion 5.76.0-1
kconfig 5.76.0-1
kconfigwidgets 5.76.0-1
kcontacts 1:5.76.0-1
kcoreaddons 5.76.0-1
kcrash 5.76.0-1
kcron 20.08.3-1
kdav 1:5.76.0-1
kdbusaddons 5.76.0-1
kde-cli-tools 5.20.3-1
kde-dev-scripts 20.08.3-1
kde-dev-utils 20.08.3-1
kde-gtk-config 5.20.3-1
kdebugsettings 20.08.3-1
kdeclarative 5.76.0-1
kdeconnect 20.08.3-1
kdecoration 5.20.3-1
kded 5.76.0-1
kdeedu-data 20.08.3-1
kdegraphics-mobipocket 20.08.3-1
kdegraphics-thumbnailers 20.08.3-1
kdelibs4support 5.76.0-1
kdenetwork-filesharing 20.08.3-1
kdenlive 20.08.3-1
kdepim-addons 20.08.3-1
kdepim-apps-libs 20.08.3-1
kdepim-runtime 20.08.3-1
kdeplasma-addons 5.20.3-1
kdesdk-kioslaves 20.08.3-1
kdesdk-thumbnailers 20.08.3-1
kdesu 5.76.0-1
kdevelop 5.6.0-4
kdf 20.08.3-1
kdiagram 2.7.0-1
kdialog 20.08.3-1
kdiamond 20.08.3-1
kdnssd 5.76.0-1
kdoctools 5.76.0-1
kdsoap 1.9.1-1
kdsoap-ws-discovery-client git20200927-1
keditbookmarks 20.08.3-1
kemoticons 5.76.0-1
keyutils 1.6.3-1
kfilemetadata 5.76.0-1
kfind 20.08.3-1
kfloppy 20.08.3-1
kfourinline 20.08.3-1
kgamma5 5.20.3-1
kgeography 20.08.3-1
kget 20.08.3-1
